question,option_a,option_b,option_c,correct_answer,reference
What must organisations ensure when handling and storing occurrence reports?,That they are kept in hard copy only,That confidentiality and just culture principles are maintained,That they are visible to all staff for awareness,b,"CAR-OCR.GEN.130(d), Issue 01"
Which reporting system should be used to voluntarily report a safety concern not captured by mandatory systems?,ROSI,VORSY,AVSEC,b,"CAR-OCR.GEN.125(c) & Annex F, Issue 01"
What is the primary purpose of the Minimum Equipment List (MEL)?,To replace the maintenance program when equipment fails,To list equipment that may be inoperative under specified conditions,To allow for automatic deferral of any equipment issue,b,"GM1 to CAR MEL 001(a), Issue 01"
Who is permitted to take immediate action to fly outside MEL constraints under exceptional safety risk?,The post holder – Maintenance,The GCAA inspector,The Pilot-in-Command,c,"CAR MEL 001(d), Issue 01"
How soon must an operator amend their MEL after changes to the MMEL?,Within 30 days,Within 90 days,Before the next scheduled audit,b,"CAR MEL 007, Issue 01"
What document must the MEL be based on?,The GCAA technical logbook format,The operators internal checklist,The manufacturers MMEL approved by the State of Design and recognised by the GCAA,c,"CAR MEL 003(a), Issue 01"
What must the operator do when rectification interval limits cannot be met due to reasons beyond their control?,Extend the interval by default,Submit an RIE request following CAR MEL 013,Leave the item unrectified until the next check,b,"CAR MEL 013(a), Issue 01"
"Under what category must items be rectified within 120 calendar days, excluding day of discovery?",Category A,Category C,Category D,c,"CAR MEL 011(a)(1), Issue 01"
What must be installed by the crew or maintenance to inform about a deferred MEL item?,A circuit breaker tag,A dedicated equipment label,A placard at or near the affected control,c,"GM1 to AMC1 to CAR MEL 009(a)(3), Issue 01"
Who is responsible for ensuring that deferred MEL items do not adversely affect flight safety due to accumulation?,The GCAA,The aircraft owner,The operator,c,"AMC1 to CAR MEL 011, Issue 01"
When can operational and maintenance procedures in the MEL be skipped?,When aircraft is flying under ferry conditions,When the MEL specifies no (O) or (M) procedure is required,When the maintenance team is experienced with the aircraft type,b,"CAR MEL 015(c), Issue 01"
Which MEL rectification category has no standard time limit but must be complied with per MMEL conditions?,Category A,Category B,Category C,a,"CAR MEL 011(a)(1), Issue 01"
